"Corr.surf","Dist.true.cent","Normal","Log.norm","Beta","Gamma","approach","centr.conf","model"
0.142832185126154,973.333102940629,2,1,0,0,"PPM","outer","Saturated"
0.969777980051281,15227.0049809719,0,2,0,1,"PPM","outer","Saturated"
0.967718400104504,806.785205724863,2,1,0,0,"PPM","outer","Saturated"
0.819597555353547,459.137708944056,0,2,1,0,"PPM","outer","Saturated"
0.767028164563751,37.219633818921,1,0,0,2,"PPM","outer","Saturated"
0.95547770275023,897.897836053203,2,0,0,1,"PPM","outer","Saturated"
0.989420966581977,13.4827107547531,0,0,1,2,"PPM","outer","Saturated"
0.903022631184695,106.181037196991,2,1,0,0,"PPM","outer","Saturated"
0.907953437196327,760.004563346147,0,1,1,1,"PPM","outer","Saturated"
0.605844191967699,77.1070261295016,1,1,1,0,"PPM","outer","Saturated"
0.943994742238857,23009.2766541805,1,0,1,1,"PPM","outer","Saturated"
0.8966047443465,3.23235653272086,0,0,3,0,"PPM","outer","Saturated"
0.964105144052954,89.4140057334058,1,0,1,1,"PPM","outer","Saturated"
0.110437283381158,3054.66540248319,1,1,1,0,"PPM","outer","Saturated"
0.946386201946202,6.28296770565564,3,0,0,0,"PPM","outer","Saturated"
0.92649907149071,425.404059406245,0,2,1,0,"PPM","outer","Saturated"
0.288864412286708,2056.82917232499,0,1,2,0,"PPM","outer","Saturated"
0.922950555942755,26.7695409232084,1,2,0,0,"PPM","outer","Saturated"
0.815842117476341,242.593062784556,1,1,0,1,"PPM","outer","Saturated"
0.889093494446064,14.1230605976575,1,0,1,1,"PPM","outer","Saturated"
0.90196917252073,13.9191951335514,1,0,1,1,"PPM","outer","Saturated"
0.919874704869085,43.2048154909041,1,1,0,1,"PPM","outer","Saturated"
0.809551600979798,85.3968127633785,2,0,0,1,"PPM","outer","Saturated"
0.962157697016476,412.633587807456,1,1,1,0,"PPM","outer","Saturated"
0.206266588137692,649.691752975985,2,0,0,1,"PPM","outer","Saturated"
0.185952665019014,765.934144652098,0,0,1,2,"PPM","outer","Saturated"
0.0173709171467255,1889.10150052805,1,1,1,0,"PPM","outer","Saturated"
0.881987828613713,24.1661235460977,2,0,0,1,"PPM","outer","Saturated"
0.864442689592595,14.2893030387939,2,0,1,0,"PPM","outer","Saturated"
0.195953685612297,1209.41629924803,0,1,0,2,"PPM","outer","Saturated"
0.987836593221581,4.15169119990628,2,1,0,0,"PPM","outer","Saturated"
0.0734340735914212,2055.26849168812,2,0,0,1,"PPM","outer","Saturated"
0.938133978780147,6.89477349408221,2,1,0,0,"PPM","outer","Saturated"
0.544580324156061,42.9344887347864,0,0,1,2,"PPM","outer","Saturated"
0.955322645528149,7.33398689097416,1,0,2,0,"PPM","outer","Saturated"
0.0369481621049363,1762.10249723778,1,2,0,0,"PPM","outer","Saturated"
0.936083067414848,924.596011992072,1,1,1,0,"PPM","outer","Saturated"
0.964482739267954,765.312539237148,1,0,1,1,"PPM","outer","Saturated"
0.957452956631265,26.5624254716968,1,0,1,1,"PPM","outer","Saturated"
0.829347816272168,1435.02857068326,1,0,1,1,"PPM","outer","Saturated"
0.971889201554446,2.28704418858087,1,2,0,0,"PPM","outer","Saturated"
0.983148360965359,199.696281601574,1,0,1,1,"PPM","outer","Saturated"
0.992325793668161,7930570.16713786,2,1,0,0,"PPM","outer","Saturated"
0.953841412147901,8.11893232572401,0,1,2,0,"PPM","outer","Saturated"
0.879872309950227,1294.86378076261,1,1,0,1,"PPM","outer","Saturated"
0.983334332828967,41.1482453295397,2,0,1,0,"PPM","outer","Saturated"
0.585484594209461,101.454725944476,2,1,0,0,"PPM","outer","Saturated"
0.92854916504085,7.66219891731661,2,0,0,1,"PPM","outer","Saturated"
0.262049075467774,266.311509121689,1,1,1,0,"PPM","outer","Saturated"
0.588343444075231,471.367686771762,1,1,0,1,"PPM","outer","Saturated"
0.973544309812027,0.74097206825946,1,0,2,0,"PPM","outer","Saturated"
0.942500952241021,1478.04464991073,1,1,1,0,"PPM","outer","Saturated"
0.166018771434146,3912.1903938631,1,1,0,1,"PPM","outer","Saturated"
0.961002143814105,2667010.74587249,1,0,0,2,"PPM","outer","Saturated"
0.331308647129995,789.896391278889,1,2,0,0,"PPM","outer","Saturated"
0.958334701882657,26.6285557936286,1,0,2,0,"PPM","outer","Saturated"
0.854019590164445,17329.7278208601,2,0,0,1,"PPM","outer","Saturated"
0.970029205969901,9.12677652783334,2,1,0,0,"PPM","outer","Saturated"
0.838856891749135,163.710381915293,1,1,0,1,"PPM","outer","Saturated"
0.959795866512301,7.26110087579496,3,0,0,0,"PPM","outer","Saturated"
0.949610278537713,17.7920278458393,1,0,1,1,"PPM","outer","Saturated"
0.212863186427653,873.973410248739,2,1,0,0,"PPM","outer","Saturated"
0.863641700204677,6.57252173094657,0,1,0,2,"PPM","outer","Saturated"
0.985068729350275,5.42186706375537,1,0,1,1,"PPM","outer","Saturated"
0.956924997991909,1.17363225236827,2,0,0,1,"PPM","outer","Saturated"
0.944525836147437,106.931394022688,0,0,0,3,"PPM","outer","Saturated"
0.173892383203614,1015.94107403531,1,2,0,0,"PPM","outer","Saturated"
0.920589440412115,685020.308191588,0,3,0,0,"PPM","outer","Saturated"
0.984276693333372,26545.0362484608,2,1,0,0,"PPM","outer","Saturated"
0.914290875526174,14.0481695631177,2,0,0,1,"PPM","outer","Saturated"
0.969771596602131,21941.2585426887,1,1,1,0,"PPM","outer","Saturated"
0.739260313005657,104.486803566476,0,1,0,2,"PPM","outer","Saturated"
0.965870512314826,5.52104444796989,2,0,1,0,"PPM","outer","Saturated"
0.984298321166565,0.796035759123514,1,0,1,1,"PPM","outer","Saturated"
0.910576108668636,112.056103863826,1,0,1,1,"PPM","outer","Saturated"
0.863101496593883,140.419309132132,2,0,0,1,"PPM","outer","Saturated"
0.992921758180178,78.455405132341,0,0,3,0,"PPM","outer","Saturated"
0.573131626665784,115.333471770825,0,1,1,1,"PPM","outer","Saturated"
0.976750963601428,165.755037317052,1,2,0,0,"PPM","outer","Saturated"
0.455337912624296,196.969801321594,0,1,0,2,"PPM","outer","Saturated"
0.893949334545087,83.9097549183045,2,1,0,0,"PPM","outer","Saturated"
0.980923611010185,2.32680939354865,1,0,2,0,"PPM","outer","Saturated"
0.815343439084388,14.5698759797126,1,0,0,2,"PPM","outer","Saturated"
0.904342422123128,108.798738489744,1,0,0,2,"PPM","outer","Saturated"
0.918901148158891,9.71776582128651,1,1,1,0,"PPM","outer","Saturated"
0.972219339023419,6.13408434770379,2,0,0,1,"PPM","outer","Saturated"
0.966730540625306,1.90321976972023,2,0,1,0,"PPM","outer","Saturated"
0.936317787742766,5702.25369337982,1,0,0,2,"PPM","outer","Saturated"
0.973489585887426,1.92568512404328,1,0,2,0,"PPM","outer","Saturated"
0.344218958210504,211.781283350761,1,0,0,2,"PPM","outer","Saturated"
0.962430021064238,22.0288258026174,1,1,0,1,"PPM","outer","Saturated"
0.990699692497345,14.6363488877511,1,0,1,1,"PPM","outer","Saturated"
0.296402759443912,268.768700590783,1,1,1,0,"PPM","outer","Saturated"
0.947037002793738,1342.10355062062,2,1,0,0,"PPM","outer","Saturated"
0.213214173456024,328.417341431939,1,1,1,0,"PPM","outer","Saturated"
0.965383699863154,7.3859577910326,2,0,0,1,"PPM","outer","Saturated"
0.163303859965429,867.485837714311,2,0,0,1,"PPM","outer","Saturated"
0.966662279896865,3.00370003516182,2,0,1,0,"PPM","outer","Saturated"
0.974809299517298,10.9271958547423,3,0,0,0,"PPM","outer","Saturated"
0.966760223654442,2794.93478909646,1,0,1,1,"PPM","outer","Saturated"
0.941825745567611,4.2228639457943,2,0,1,0,"PPM","outer","Saturated"
0.950354505024592,2.86399295074245,3,0,0,0,"PPM","outer","Saturated"
0.415769952989516,228.072601661526,1,1,1,0,"PPM","outer","Saturated"
0.984489300387394,100.163605313299,2,0,1,0,"PPM","outer","Saturated"
0.970304281171761,33.6171209031843,0,0,2,1,"PPM","outer","Saturated"
0.932724876409779,13.2327686120366,0,1,2,0,"PPM","outer","Saturated"
0.946032728594168,4.78417003532411,1,0,2,0,"PPM","outer","Saturated"
0.523528197353183,169.168632923864,0,0,2,1,"PPM","outer","Saturated"
0.973357282943604,4071.2547498382,0,0,0,3,"PPM","outer","Saturated"
0.244022766474438,281.624121333038,0,1,1,1,"PPM","outer","Saturated"
0.938316684969731,11.7069064081753,1,0,1,1,"PPM","outer","Saturated"
0.895808568013282,48.1213664989216,0,2,0,1,"PPM","outer","Saturated"
0.947477266972836,623.994120653228,1,1,0,1,"PPM","outer","Saturated"
0.0783382797568007,1626.288619739,1,2,0,0,"PPM","outer","Saturated"
0.93806858255272,9.91100407924727,1,1,1,0,"PPM","outer","Saturated"
0.260720025659844,1123.36862930542,0,1,0,2,"PPM","outer","Saturated"
0.966949261423153,110.426283058268,2,1,0,0,"PPM","outer","Saturated"
0.973387015305865,10.5189555366003,2,0,1,0,"PPM","outer","Saturated"
0.130742196812084,1574.86733250881,1,1,0,1,"PPM","outer","Saturated"
0.947704118596553,7.5199857998282,2,0,1,0,"PPM","outer","Saturated"
0.926039996555419,5.71906716286005,3,0,0,0,"PPM","outer","Saturated"
0.715306014746169,52.7188309694149,1,0,1,1,"PPM","outer","Saturated"
0.880327190874505,396644.995073439,1,1,0,1,"PPM","outer","Saturated"
0.986070889600281,170.799177879573,1,2,0,0,"PPM","outer","Saturated"
0.463542328567232,108.218002759238,1,1,1,0,"PPM","outer","Saturated"
0.339792443646743,4367.63787507526,0,2,1,0,"PPM","outer","Saturated"
0.886780458216915,3333.4378372674,1,0,0,2,"PPM","outer","Saturated"
0.868850179582646,11.4229459544509,2,0,1,0,"PPM","outer","Saturated"
0.175795747798532,1061.51795215288,0,3,0,0,"PPM","outer","Saturated"
0.883836543335801,31.6774012033523,2,1,0,0,"PPM","outer","Saturated"
0.238615325451729,1474.37100409639,0,3,0,0,"PPM","outer","Saturated"
0.941074811014284,4.25767349884762,1,0,0,2,"PPM","outer","Saturated"
0.994709252445597,38.9051860134653,1,2,0,0,"PPM","outer","Saturated"
0.951769913740904,554.630544308957,1,1,1,0,"PPM","outer","Saturated"
0.973308380234871,4.23567962417336,2,1,0,0,"PPM","outer","Saturated"
0.8468500557276,15.2524300060865,1,0,1,1,"PPM","outer","Saturated"
0.942164745058223,7.2515460601298,2,0,1,0,"PPM","outer","Saturated"
0.482254370890363,720.721026349439,1,0,0,2,"PPM","outer","Saturated"
0.144669156947669,1169.95460126462,1,1,0,1,"PPM","outer","Saturated"
0.96455412379439,3.58680819166683,2,0,1,0,"PPM","outer","Saturated"
0.59116718746722,106.387348771361,0,0,1,2,"PPM","outer","Saturated"
0.874534598363614,842.944532242021,2,1,0,0,"PPM","outer","Saturated"
0.989626104387529,12.640056568324,1,1,1,0,"PPM","outer","Saturated"
0.946536951525801,9.76330601580163,2,0,1,0,"PPM","outer","Saturated"
0.868984857881098,92.0735115920585,2,0,0,1,"PPM","outer","Saturated"
0.586796992991345,1187.94823355202,2,1,0,0,"PPM","outer","Saturated"
0.910841140702049,90.5824845822083,0,0,2,1,"PPM","outer","Saturated"
0.904050362533371,204.208292432393,1,2,0,0,"PPM","outer","Saturated"
0.987359800343422,15.5809729653187,1,0,1,1,"PPM","outer","Saturated"
0.773823161470834,44.7340392893367,1,1,0,1,"PPM","outer","Saturated"
0.967444905499514,1.69679540741823,0,1,2,0,"PPM","outer","Saturated"
0.961373238173152,111.515563507599,0,0,1,2,"PPM","outer","Saturated"
0.969038029983044,3.16404133852825,2,0,1,0,"PPM","outer","Saturated"
0.725793751715941,142.42545863741,2,0,1,0,"PPM","outer","Saturated"
0.058302585678355,2064.85798768327,0,0,1,2,"PPM","outer","Saturated"
0.947340457713667,1.85791889824471,3,0,0,0,"PPM","outer","Saturated"
0.979649610516273,9.04782106340029,1,1,1,0,"PPM","outer","Saturated"
0.946811159306708,6.36789219046893,2,0,0,1,"PPM","outer","Saturated"
0.94526790095172,294.027356743239,1,1,0,1,"PPM","outer","Saturated"
0.951500505687011,5.44556055318778,0,0,2,1,"PPM","outer","Saturated"
0.972678412819769,10.5989499773425,2,0,1,0,"PPM","outer","Saturated"
