Species,Latitud,Longitud
Cal_mel,37.5756917,-110.7124489
Cal_mel,49.1,-110.56
Cal_mel,44.2384571,-112.2561867
Cal_mel,47.4695697,-104.1527019
Cal_mel,44.2045837,-105.7139509
Cal_mel,37.9979687,-103.1977919
Cal_mel,36.3201947,-104.4212339
Cal_mel,45.1555417,-98.2072839
Cal_mel,36.1676097,-107.7013619
Cal_mel,39.8407587,-104.1886679
Cal_mel,43.8312097,-98.6458819
Cal_mel,41.1288187,-107.6483229
Cal_mel,37.9271847,-98.8303289
Cal_mel,41.7025687,-108.42982
Cal_mel,52.725925,-113.217063
Cal_mel,38.9999639,-104.7380455
Cal_mel,37.1810849,-105.7459646
Cal_mel,44.1738082,-99.5004818
Cal_mel,37.1640087,-102.2766499
Cal_mel,49.261279,-110.690791
Cal_mel,43.9867047,-110.6663889
Cal_mel,45.8541675,-99.2629045
Cal_mel,41.7858723,-102.4579398
Cal_mel,37.2881745,-106.8377022
Cal_mel,43.5872765,-96.1830378
Cal_mel,49.538126,-110.2754671
Cal_mel,47.6462687,-100.0542839
Cal_mel,43.2574697,-96.2756889
Cal_mel,48.2672307,-99.3513109
Cal_mel,42.6916837,-109.5205689
Cal_mel,45.1458023,-102.5581808
Cal_mel,38.8417547,-99.4663929
Cal_mel,49.21,-105.32
Cal_mel,44.1055677,-105.1623999
Cal_mel,42.2789651,-103.6599064
Cal_mel,49.939231,-109.529823
Cal_mel,38.6441327,-105.7794649
Cal_mel,46.9022197,-108.3468089
Cal_mel,41.8244667,-111.2935569
Cal_mel,49.667967,-109.749712
Cal_mel,43.3619587,-103.9228739
Cal_mel,42.7695353,-98.5988124
Cal_mel,46.2579454,-106.6939401
Cal_mel,42.8832047,-110.0009079
Cal_mel,30.7062893,-100.8487982
Cal_mel,44.7921157,-104.6191789
Cal_mel,40.4591417,-114.0286489
Cal_mel,43.9188659,-102.9203336
Cal_mel,38.025678,-105.8127155
Cal_mel,43.5440727,-110.8569409
Cal_mel,41.7218051,-100.7705095
Cal_mel,39.8307687,-102.6325909
Cal_mel,44.2125557,-101.3067249
Cal_mel,45.4278547,-96.7190699
Cal_mel,36.8049077,-100.6138549
Cal_mel,44.2432857,-104.1354449
Cal_mel,50.461771,-101.223193
