Species,Latitud,Longitud
Cal_cal,40.1541637,-120.5453404
Cal_cal,45.0713783,-119.8749011
Cal_cal,37.4158007,-118.0043109
Cal_cal,39.9935292,-121.704424
Cal_cal,39.6153759,-120.4258218
Cal_cal,36.6541134,-120.2610649
Cal_cal,44.669185,-120.12219
Cal_cal,48.4797897,-116.8492509
Cal_cal,41.5295757,-120.1718519
Cal_cal,35.5494581,-118.2071003
Cal_cal,37.1720925,-118.0220022
Cal_cal,42.2676287,-121.4868428
Cal_cal,41.8223332,-123.0047055
Cal_cal,45.72192,-116.7795945
Cal_cal,41.6708967,-121.2574609
Cal_cal,33.9981167,-119.5768969
Cal_cal,46.726114,-122.86911
Cal_cal,50.815837,-119.0863
Cal_cal,46.7665517,-119.04624
Cal_cal,36.5471497,-119.8358759
Cal_cal,44.7117487,-122.7713389
Cal_cal,48.6756907,-118.1161269
Cal_cal,34.5208799,-117.9406162
Cal_cal,42.7851549,-124.0250629
Cal_cal,34.7383427,-119.0450209
Cal_cal,45.7909747,-122.8698811
Cal_cal,46.9561757,-123.4427949
Cal_cal,39.1628167,-122.6130599
Cal_cal,34.6739607,-119.6685329
Cal_cal,45.4462537,-120.7024989
Cal_cal,39.1239687,-120.7596199
Cal_cal,40.2017613,-120.623502
Cal_cal,42.8131415,-116.6394012
Cal_cal,33.3988807,-116.8011859
Cal_cal,46.2373387,-118.3682399
Cal_cal,34.2452557,-117.0639579
Cal_cal,44.7201827,-123.2611839
Cal_cal,45.5378447,-121.4834369
Cal_cal,36.3127167,-120.3048859
Cal_cal,46.2884577,-118.4872669
Cal_cal,42.0624827,-120.1599889
Cal_cal,42.9546357,-119.0157629
Cal_cal,43.1276525,-123.2923081
Cal_cal,41.3028427,-123.5376359
Cal_cal,37.6849387,-122.4709619
Cal_cal,37.1416897,-120.4009629
Cal_cal,37.0690767,-113.7700499
Cal_cal,34.4663227,-120.0690309
Cal_cal,45.6178436,-119.9560706
Cal_cal,45.8331357,-121.3533019
Cal_cal,40.6724857,-122.3224869
Cal_cal,46.0761181,-115.4122168
Cal_cal,41.0534621,-120.4745547
Cal_cal,41.6955943,-124.1417935
Cal_cal,47.6640047,-119.6308899
Cal_cal,40.3520163,-122.3059647
Cal_cal,43.8507711,-119.5307076
Cal_cal,42.5779778,-119.5878481
Cal_cal,44.5020757,-117.9704899
Cal_cal,42.4225447,-123.6893159
Cal_cal,48.0542177,-118.5401529
Cal_cal,33.1990869,-116.7862853
Cal_cal,37.8002217,-118.5296169
Cal_cal,46.2694477,-124.0782779
Cal_cal,47.3151767,-119.8794779
Cal_cal,39.0686937,-121.0099559
Cal_cal,47.4050627,-117.5205149
Cal_cal,44.5127163,-123.633609
Cal_cal,38.4960307,-121.4588469
Cal_cal,40.8737513,-122.2919583
Cal_cal,39.2075029,-114.4976522
Cal_cal,41.4000979,-122.0499734
Cal_cal,38.7995807,-120.7242129
